20
ID,x,y,z,parent
0,0,-1,0,0
1,2,-2,0,0
2,2,-3,-2,1
3,0,-4,1,2
4,-2,-3,-1,1
5,-2,-4,2,4
6,1,-2,1,0
7,0,-3,2,6
8,0,-4,-1,7
9,-2,-4,-2,7
10,0,-1,1,10
11,0,-2,1,10
12,-1,-3,0,11
13,2,-4,0,12
14,-1,-4,-2,12
15,1,-3,-2,11
16,1,-4,0,15
17,1,-4,-2,15
18,-1,-2,-1,10
19,0,-3,-1,18
20,-1,-4,-1,19
21,-1,-3,-1,18
22,2,-4,-1,21
23,-2,-4,-1,21
24,0,-1,2,24
25,-2,-2,0,24
26,-1,-3,1,25
27,-2,-4,0,26
28,2,-4,1,26
29,-2,-3,1,25
30,1,-4,2,29
31,1,-2,-1,24
32,0,-3,-2,31
33,2,-4,-2,32
34,2,-3,0,31
35,0,-4,2,34
36,1,-4,1,34
